Genes	cor	pvalue	Diff_group	gene_upper	is_bcell	to_label	adjusted_pvalue
ABO	0.38260403360536	1.25781601288256e-05	Benign_Tumor	ABO	FALSE	FALSE	3.31886966598104e-05
ABR	0.483338475727809	1.4910678089382e-08	Benign_Tumor	ABR	FALSE	FALSE	9.37062106077264e-08
ABRACL	0.262118783745757	0.00340334911380767	Benign_Tumor	ABRACL	FALSE	FALSE	0.00478472111125096
ABRAXAS1	0.0609157673828522	0.503296186815845	Benign_Tumor	ABRAXAS1	FALSE	FALSE	0.510641182961962
ABRAXAS2	0.222076037821221	0.0135603588195078	Benign_Tumor	ABRAXAS2	FALSE	FALSE	0.0168751372779443
ABT1	0.338286230667806	0.000129751846166162	Benign_Tumor	ABT1	FALSE	FALSE	0.000259787284693448
ABTB1	0.283352864203961	0.00149424308835463	Benign_Tumor	ABTB1	FALSE	FALSE	0.00229146702264369
ABTB2	0.348648830342717	7.75127557205365e-05	Benign_Tumor	ABTB2	FALSE	FALSE	0.000164094935674602
ABTB3	0.356141755252875	5.28041824624716e-05	Benign_Tumor	ABTB3	FALSE	FALSE	0.000117440664594126
ACAA1	0.562818275842734	1.24017542166702e-11	Benign_Tumor	ACAA1	FALSE	FALSE	1.91789988496728e-10
ACAA2	0.20811103135172	0.0208966020472296	Benign_Tumor	ACAA2	FALSE	FALSE	0.0250884884497345
ACACA	0.337185609921185	0.000136905189905277	Benign_Tumor	ACACA	FALSE	FALSE	0.000271736915574019
ACACB	0.480482583383876	1.86256476004235e-08	Benign_Tumor	ACACB	FALSE	FALSE	1.13926633967555e-07
ACAD10	0.518537694577942	8.07249088878294e-10	Benign_Tumor	ACAD10	FALSE	FALSE	7.44303733635386e-09
ACAD11	0.491328169219917	7.91526657553402e-09	Benign_Tumor	ACAD11	FALSE	FALSE	5.43494031661337e-08
ACAD8	0.412765234640723	2.09179165719639e-06	Benign_Tumor	ACAD8	FALSE	FALSE	6.89427967778188e-06
ACAD9	0.432782055666359	5.75406960831891e-07	Benign_Tumor	ACAD9	FALSE	FALSE	2.21528123634982e-06
ACADL	0.456764907305578	1.09466019367355e-07	Benign_Tumor	ACADL	FALSE	FALSE	5.22277671448474e-07
ACADM	0.260508373541276	0.00361313052088329	Benign_Tumor	ACADM	FALSE	FALSE	0.00505001629884361
ACADS	0.30059476744439	0.000729626133676868	Benign_Tumor	ACADS	FALSE	FALSE	0.00119971151723681
ACADSB	0.391344260665373	7.61454653723959e-06	Benign_Tumor	ACADSB	FALSE	FALSE	2.13775614249923e-05
ACADVL	0.44623666057116	2.30394538057681e-07	Benign_Tumor	ACADVL	FALSE	FALSE	1.00060863259616e-06
